File output_ga/all/ga_setpack_superheavy_new_mut_09_log,csv
elapsed_time;max_gen_reached
162,559037;False
corr_threshold;cxpb;db;divfac;divstep;elsize;k;lang;max_no_improv;maxs;metric;mincxpb;mins;mutpb;muttype;ngen;pltfile;pltvar;pop;save_log;seed;selec;toursize;verbose;wo
0,7;0,8;all;0,5;0,1;0,5;10;pt;0,2;36;sc;0,8;3;0,02;0,1;300;None;False;50;True;-1;bin;0,2;True;False
Solutions
evaluation;kills;deaths;assists;denies;gold_per_min;xp_per_min;hero_damage;hero_healing;last_hits;firstblood_claimed;obs_placed;rune_pickups;sen_placed;teamfight_participation;tower_damage;towers_killed;neutral_kills;tower_kills;lane_kills;roshan_kills;necronomicon_kills;courier_kills;observer_kills;sentry_kills;ancient_kills;camps_stacked;gold_spent;pings;roshans_killed;stuns;buyback_count;observer_uses;sentry_uses;lane_efficiency;purchase_tpscroll;actions_per_min;origin;generation
0,155484;1;1;1;0;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;0;1;1;0;1;0;1;0;1;1;1;0;0;0;0;0;1;initial;0
-0,040689;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;initial;0
-0,108892;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;initial;0
0,132315;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;0;0;1;initial;0
0,137941;0;1;1;0;0;1;0;1;0;1;1;1;0;0;0;0;0;1;0;0;1;1;1;0;0;1;0;1;0;0;1;0;0;0;0;0;initial;0
0,139118;0;1;1;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;1;0;1;0;0;1;0;1;0;0;1;initial;0
0,053255;0;0;0;0;0;0;1;1;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;initial;0
0,140008;0;1;1;1;0;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;1;1;1;0;1;1;0;1;0;0;1;0;0;0;0;0;initial;0
0,101815;1;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;1;0;1;0;1;0;0;0;1;initial;0
0,070721;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;1;1;0;0;0;1;initial;0
